epiweek,time_value,issue,geo_type,geo_value,hpiv_positive_tests,adv_positive_tests,hmpv_positive_tests,ev_rv_positive_tests,hcov_positive_tests,rsv_positive_tests
201748,2017-12-02,2018-07-19,nation,ca,169,58.0,65,277.0,60,199.0
201749,2017-12-09,2018-07-19,nation,ca,205,77.0,99,320.0,83,276.0
201750,2017-12-16,2018-07-19,nation,ca,199,97.0,137,304.0,121,371.0
201751,2017-12-23,2018-07-19,nation,ca,182,82.0,182,306.0,179,554.0
201752,2017-12-30,2018-07-19,nation,ca,174,67.0,160,237.0,224,631.0
201801,2018-01-06,2018-07-19,nation,ca,181,76.0,200,203.0,316,886.0
201802,2018-01-13,2018-07-19,nation,ca,149,45.0,175,170.0,265,883.0
201803,2018-01-20,2018-07-19,nation,ca,143,66.0,228,178.0,286,869.0
201804,2018-01-27,2018-07-19,nation,ca,83,74.0,222,160.0,257,857.0
201805,2018-02-03,2018-07-19,nation,ca,82,69.0,214,164.0,278,877.0
201806,2018-02-10,2018-07-19,nation,ca,74,62.0,257,189.0,254,836.0
201807,2018-02-17,2018-07-19,nation,ca,65,69.0,249,160.0,216,878.0
201808,2018-02-24,2018-07-19,nation,ca,65,58.0,238,163.0,204,795.0
201809,2018-03-03,2018-07-19,nation,ca,73,47.0,272,153.0,203,746.0
201810,2018-03-10,2018-07-19,nation,ca,67,63.0,262,201.0,196,682.0
201811,2018-03-17,2018-07-19,nation,ca,53,55.0,307,185.0,148,647.0
201812,2018-03-24,2018-07-19,nation,ca,72,69.0,237,226.0,144,552.0
201813,2018-03-31,2018-07-19,nation,ca,69,66.0,211,244.0,82,481.0
201814,2018-04-07,2018-07-19,nation,ca,85,61.0,245,264.0,86,437.0
201815,2018-04-14,2018-07-19,nation,ca,106,56.0,227,288.0,73,424.0
201816,2018-04-21,2018-07-19,nation,ca,102,55.0,186,247.0,68,308.0
201817,2018-04-28,2018-07-19,nation,ca,109,53.0,155,263.0,44,244.0
201818,2018-05-05,2018-07-19,nation,ca,123,66.0,146,302.0,42,149.0
201819,2018-05-12,2018-07-19,nation,ca,108,38.0,96,243.0,23,127.0
201820,2018-05-19,2018-07-19,nation,ca,161,51.0,82,245.0,29,103.0
201821,2018-05-26,2018-07-19,nation,ca,145,53.0,75,244.0,15,54.0
201822,2018-06-02,2018-07-19,nation,ca,141,55.0,56,222.0,7,45.0
201823,2018-06-09,2018-07-19,nation,ca,178,41.0,38,245.0,6,34.0
201824,2018-06-16,2018-07-19,nation,ca,128,46.0,32,245.0,12,21.0
201825,2018-06-23,2018-07-19,nation,ca,128,37.0,17,251.0,11,18.0
201826,2018-06-30,2018-07-19,nation,ca,115,33.0,21,275.0,5,15.0
201827,2018-07-07,2018-07-19,nation,ca,100,33.0,14,198.0,3,16.0
201828,2018-07-14,2018-07-19,nation,ca,94,26.0,15,177.0,3,8.0
201735,2017-09-02,2018-07-12,nation,ca,48,15.0,29,222.0,9,8.0
201736,2017-09-09,2018-07-12,nation,ca,42,25.0,6,225.0,2,16.0
201737,2017-09-16,2018-07-12,nation,ca,57,43.0,28,358.0,5,11.0
201738,2017-09-23,2018-07-12,nation,ca,47,40.0,15,422.0,8,19.0
201739,2017-09-30,2018-07-12,nation,ca,65,43.0,15,505.0,9,13.0
201740,2017-10-07,2018-07-12,nation,ca,73,53.0,21,574.0,10,17.0
201741,2017-10-14,2018-07-12,nation,ca,82,45.0,13,462.0,9,22.0
201742,2017-10-21,2018-07-12,nation,ca,96,45.0,21,457.0,7,43.0
201743,2017-10-28,2018-07-12,nation,ca,103,50.0,42,452.0,11,40.0
201744,2017-11-04,2018-07-12,nation,ca,132,61.0,30,412.0,6,65.0
201745,2017-11-11,2018-07-12,nation,ca,162,77.0,38,386.0,11,94.0
201746,2017-11-18,2018-07-12,nation,ca,132,73.0,41,367.0,19,110.0
201747,2017-11-25,2018-07-12,nation,ca,221,68.0,62,303.0,29,171.0
201748,2017-12-02,2018-07-12,nation,ca,169,58.0,65,277.0,60,199.0
201749,2017-12-09,2018-07-12,nation,ca,205,77.0,99,320.0,83,276.0
201750,2017-12-16,2018-07-12,nation,ca,199,97.0,137,304.0,121,371.0
201751,2017-12-23,2018-07-12,nation,ca,182,82.0,182,306.0,179,554.0
201752,2017-12-30,2018-07-12,nation,ca,174,67.0,160,237.0,224,631.0
201801,2018-01-06,2018-07-12,nation,ca,181,76.0,200,203.0,316,886.0
201802,2018-01-13,2018-07-12,nation,ca,149,45.0,175,170.0,265,883.0
201803,2018-01-20,2018-07-12,nation,ca,143,66.0,228,178.0,286,869.0
201804,2018-01-27,2018-07-12,nation,ca,83,74.0,222,160.0,257,857.0
201805,2018-02-03,2018-07-12,nation,ca,82,69.0,214,164.0,278,877.0
201806,2018-02-10,2018-07-12,nation,ca,74,62.0,257,189.0,254,836.0
201807,2018-02-17,2018-07-12,nation,ca,65,69.0,249,160.0,216,878.0
201808,2018-02-24,2018-07-12,nation,ca,65,58.0,238,163.0,204,795.0
201809,2018-03-03,2018-07-12,nation,ca,73,47.0,272,153.0,203,746.0
201810,2018-03-10,2018-07-12,nation,ca,67,63.0,262,201.0,196,682.0
201811,2018-03-17,2018-07-12,nation,ca,53,55.0,307,185.0,148,647.0
201812,2018-03-24,2018-07-12,nation,ca,72,69.0,237,226.0,144,552.0
201813,2018-03-31,2018-07-12,nation,ca,69,66.0,211,244.0,82,481.0
201814,2018-04-07,2018-07-12,nation,ca,85,61.0,245,264.0,86,437.0
201815,2018-04-14,2018-07-12,nation,ca,106,56.0,227,288.0,73,424.0
201816,2018-04-21,2018-07-12,nation,ca,102,55.0,186,247.0,68,308.0
201817,2018-04-28,2018-07-12,nation,ca,109,53.0,155,263.0,44,244.0
201818,2018-05-05,2018-07-12,nation,ca,123,66.0,146,302.0,42,149.0
201819,2018-05-12,2018-07-12,nation,ca,108,38.0,96,243.0,23,127.0
201820,2018-05-19,2018-07-12,nation,ca,161,51.0,82,245.0,29,103.0
201821,2018-05-26,2018-07-12,nation,ca,145,53.0,75,244.0,15,54.0
201822,2018-06-02,2018-07-12,nation,ca,141,55.0,56,222.0,7,45.0
201823,2018-06-09,2018-07-12,nation,ca,178,41.0,38,245.0,6,34.0
201824,2018-06-16,2018-07-12,nation,ca,128,46.0,32,245.0,12,21.0
201825,2018-06-23,2018-07-12,nation,ca,128,37.0,17,251.0,11,18.0
201826,2018-06-30,2018-07-12,nation,ca,114,33.0,21,275.0,5,15.0
201827,2018-07-07,2018-07-12,nation,ca,98,31.0,13,183.0,3,16.0
201735,2017-09-02,2018-07-05,nation,ca,48,15.0,29,222.0,9,8.0
201736,2017-09-09,2018-07-05,nation,ca,42,25.0,6,225.0,2,16.0
201737,2017-09-16,2018-07-05,nation,ca,57,43.0,28,358.0,5,11.0
201738,2017-09-23,2018-07-05,nation,ca,47,40.0,15,422.0,8,19.0
201739,2017-09-30,2018-07-05,nation,ca,65,43.0,15,505.0,9,13.0
201740,2017-10-07,2018-07-05,nation,ca,73,53.0,21,574.0,10,17.0
201741,2017-10-14,2018-07-05,nation,ca,82,45.0,13,462.0,9,22.0
201742,2017-10-21,2018-07-05,nation,ca,96,45.0,21,457.0,7,43.0
201743,2017-10-28,2018-07-05,nation,ca,103,50.0,42,452.0,11,40.0
201744,2017-11-04,2018-07-05,nation,ca,132,61.0,30,412.0,6,65.0
201745,2017-11-11,2018-07-05,nation,ca,162,77.0,38,386.0,11,94.0
201746,2017-11-18,2018-07-05,nation,ca,132,73.0,41,367.0,19,110.0
201747,2017-11-25,2018-07-05,nation,ca,221,68.0,62,303.0,29,171.0
201748,2017-12-02,2018-07-05,nation,ca,169,58.0,65,277.0,60,199.0
201749,2017-12-09,2018-07-05,nation,ca,205,77.0,99,320.0,83,276.0
201750,2017-12-16,2018-07-05,nation,ca,199,97.0,137,304.0,121,371.0
201751,2017-12-23,2018-07-05,nation,ca,182,82.0,182,306.0,179,554.0
201752,2017-12-30,2018-07-05,nation,ca,174,67.0,160,237.0,224,631.0
201801,2018-01-06,2018-07-05,nation,ca,181,76.0,200,203.0,316,886.0
201802,2018-01-13,2018-07-05,nation,ca,149,45.0,175,170.0,265,883.0
201803,2018-01-20,2018-07-05,nation,ca,143,66.0,228,178.0,286,869.0
201804,2018-01-27,2018-07-05,nation,ca,83,74.0,222,160.0,257,857.0
201805,2018-02-03,2018-07-05,nation,ca,82,69.0,214,164.0,278,877.0
201806,2018-02-10,2018-07-05,nation,ca,74,62.0,257,189.0,254,836.0
201807,2018-02-17,2018-07-05,nation,ca,65,69.0,249,160.0,216,878.0
201808,2018-02-24,2018-07-05,nation,ca,65,58.0,238,163.0,204,795.0
201809,2018-03-03,2018-07-05,nation,ca,73,47.0,272,153.0,203,746.0
201810,2018-03-10,2018-07-05,nation,ca,67,63.0,262,201.0,196,682.0
201811,2018-03-17,2018-07-05,nation,ca,53,55.0,307,185.0,148,647.0
201812,2018-03-24,2018-07-05,nation,ca,72,69.0,237,226.0,144,552.0
201813,2018-03-31,2018-07-05,nation,ca,69,66.0,211,244.0,82,481.0
201814,2018-04-07,2018-07-05,nation,ca,85,61.0,245,264.0,86,437.0
201815,2018-04-14,2018-07-05,nation,ca,106,56.0,227,288.0,73,424.0
201816,2018-04-21,2018-07-05,nation,ca,102,55.0,186,247.0,68,308.0
201817,2018-04-28,2018-07-05,nation,ca,109,53.0,155,263.0,44,244.0
201818,2018-05-05,2018-07-05,nation,ca,123,66.0,146,302.0,42,149.0
201819,2018-05-12,2018-07-05,nation,ca,108,38.0,96,243.0,23,127.0
201820,2018-05-19,2018-07-05,nation,ca,161,51.0,82,245.0,29,103.0
201821,2018-05-26,2018-07-05,nation,ca,145,53.0,75,244.0,15,54.0
201822,2018-06-02,2018-07-05,nation,ca,141,55.0,56,222.0,7,45.0
201823,2018-06-09,2018-07-05,nation,ca,178,41.0,38,245.0,6,34.0
201824,2018-06-16,2018-07-05,nation,ca,128,46.0,32,245.0,12,21.0
201825,2018-06-23,2018-07-05,nation,ca,121,34.0,14,223.0,10,18.0
201826,2018-06-30,2018-07-05,nation,ca,1099,0.5,45,0.0,295,0.7
201735,2017-09-02,2018-06-28,nation,ca,48,15.0,29,222.0,9,8.0
201736,2017-09-09,2018-06-28,nation,ca,42,25.0,6,225.0,2,16.0
201737,2017-09-16,2018-06-28,nation,ca,57,43.0,28,358.0,5,11.0
201738,2017-09-23,2018-06-28,nation,ca,47,40.0,15,422.0,8,19.0
201739,2017-09-30,2018-06-28,nation,ca,65,43.0,15,505.0,9,13.0
201740,2017-10-07,2018-06-28,nation,ca,73,53.0,21,574.0,10,17.0
201741,2017-10-14,2018-06-28,nation,ca,82,45.0,13,462.0,9,22.0
201742,2017-10-21,2018-06-28,nation,ca,96,45.0,21,457.0,7,43.0
201743,2017-10-28,2018-06-28,nation,ca,103,50.0,42,452.0,11,40.0
201744,2017-11-04,2018-06-28,nation,ca,132,61.0,30,412.0,6,65.0
201745,2017-11-11,2018-06-28,nation,ca,162,77.0,38,386.0,11,94.0
201746,2017-11-18,2018-06-28,nation,ca,132,73.0,41,367.0,19,110.0
201747,2017-11-25,2018-06-28,nation,ca,221,68.0,62,303.0,29,171.0
201748,2017-12-02,2018-06-28,nation,ca,169,58.0,65,277.0,60,199.0
201749,2017-12-09,2018-06-28,nation,ca,205,77.0,99,320.0,83,276.0
201750,2017-12-16,2018-06-28,nation,ca,199,97.0,137,304.0,121,371.0
201751,2017-12-23,2018-06-28,nation,ca,182,82.0,182,306.0,179,554.0
201752,2017-12-30,2018-06-28,nation,ca,174,67.0,160,237.0,224,631.0
201801,2018-01-06,2018-06-28,nation,ca,181,76.0,200,203.0,316,886.0
201802,2018-01-13,2018-06-28,nation,ca,149,45.0,175,170.0,265,883.0
201803,2018-01-20,2018-06-28,nation,ca,143,66.0,228,178.0,286,869.0
201804,2018-01-27,2018-06-28,nation,ca,83,74.0,222,160.0,257,857.0
201805,2018-02-03,2018-06-28,nation,ca,82,69.0,214,164.0,278,877.0
201806,2018-02-10,2018-06-28,nation,ca,74,62.0,257,189.0,254,836.0
201807,2018-02-17,2018-06-28,nation,ca,65,69.0,249,160.0,216,878.0
201808,2018-02-24,2018-06-28,nation,ca,65,58.0,238,163.0,204,795.0
201809,2018-03-03,2018-06-28,nation,ca,73,47.0,272,153.0,203,746.0
201810,2018-03-10,2018-06-28,nation,ca,67,63.0,262,201.0,196,682.0
201811,2018-03-17,2018-06-28,nation,ca,53,55.0,307,185.0,148,647.0
201812,2018-03-24,2018-06-28,nation,ca,72,69.0,237,226.0,144,552.0
201813,2018-03-31,2018-06-28,nation,ca,69,66.0,211,244.0,82,481.0
201814,2018-04-07,2018-06-28,nation,ca,85,61.0,245,264.0,86,437.0
201815,2018-04-14,2018-06-28,nation,ca,106,56.0,227,288.0,73,424.0
201816,2018-04-21,2018-06-28,nation,ca,102,55.0,186,247.0,68,308.0
201817,2018-04-28,2018-06-28,nation,ca,109,53.0,155,263.0,44,244.0
201818,2018-05-05,2018-06-28,nation,ca,123,66.0,146,302.0,42,149.0
201819,2018-05-12,2018-06-28,nation,ca,108,38.0,96,243.0,23,127.0
201820,2018-05-19,2018-06-28,nation,ca,161,51.0,82,245.0,29,103.0
201821,2018-05-26,2018-06-28,nation,ca,145,53.0,75,244.0,15,54.0
201822,2018-06-02,2018-06-28,nation,ca,141,55.0,56,222.0,7,45.0
201823,2018-06-09,2018-06-28,nation,ca,178,41.0,38,245.0,6,34.0
201824,2018-06-16,2018-06-28,nation,ca,128,46.0,32,245.0,12,21.0
201825,2018-06-23,2018-06-28,nation,ca,121,34.0,14,223.0,10,18.0
201735,2017-09-02,2018-06-21,nation,ca,48,15.0,29,222.0,9,8.0
201736,2017-09-09,2018-06-21,nation,ca,42,25.0,6,225.0,2,16.0
201737,2017-09-16,2018-06-21,nation,ca,57,43.0,28,358.0,5,11.0
201738,2017-09-23,2018-06-21,nation,ca,47,40.0,15,422.0,8,19.0
201739,2017-09-30,2018-06-21,nation,ca,65,43.0,15,505.0,9,13.0
201740,2017-10-07,2018-06-21,nation,ca,73,53.0,21,574.0,10,17.0
201741,2017-10-14,2018-06-21,nation,ca,82,45.0,13,462.0,9,22.0
201742,2017-10-21,2018-06-21,nation,ca,96,45.0,21,457.0,7,43.0
201743,2017-10-28,2018-06-21,nation,ca,103,50.0,42,452.0,11,40.0
201744,2017-11-04,2018-06-21,nation,ca,132,61.0,30,412.0,6,65.0
201745,2017-11-11,2018-06-21,nation,ca,162,77.0,38,386.0,11,94.0
201746,2017-11-18,2018-06-21,nation,ca,132,73.0,41,367.0,19,110.0
201747,2017-11-25,2018-06-21,nation,ca,221,68.0,62,303.0,29,171.0
201748,2017-12-02,2018-06-21,nation,ca,169,58.0,65,277.0,60,199.0
201749,2017-12-09,2018-06-21,nation,ca,205,77.0,99,320.0,83,276.0
201750,2017-12-16,2018-06-21,nation,ca,199,97.0,137,304.0,121,371.0
201751,2017-12-23,2018-06-21,nation,ca,182,82.0,182,306.0,179,554.0
201752,2017-12-30,2018-06-21,nation,ca,174,67.0,160,237.0,224,631.0
201801,2018-01-06,2018-06-21,nation,ca,181,76.0,200,203.0,316,886.0
201802,2018-01-13,2018-06-21,nation,ca,149,45.0,175,170.0,265,883.0
201803,2018-01-20,2018-06-21,nation,ca,143,66.0,228,178.0,286,869.0
201804,2018-01-27,2018-06-21,nation,ca,83,74.0,222,160.0,257,857.0
201805,2018-02-03,2018-06-21,nation,ca,82,69.0,214,164.0,278,877.0
201806,2018-02-10,2018-06-21,nation,ca,74,62.0,257,189.0,254,836.0
201807,2018-02-17,2018-06-21,nation,ca,65,69.0,249,160.0,216,878.0
201808,2018-02-24,2018-06-21,nation,ca,65,58.0,238,163.0,204,795.0
201809,2018-03-03,2018-06-21,nation,ca,73,47.0,272,153.0,203,746.0
201810,2018-03-10,2018-06-21,nation,ca,67,63.0,262,201.0,196,682.0
201811,2018-03-17,2018-06-21,nation,ca,53,55.0,307,185.0,148,647.0
201812,2018-03-24,2018-06-21,nation,ca,72,69.0,237,226.0,144,552.0
201813,2018-03-31,2018-06-21,nation,ca,69,66.0,211,244.0,82,481.0
201814,2018-04-07,2018-06-21,nation,ca,85,61.0,245,264.0,86,437.0
201815,2018-04-14,2018-06-21,nation,ca,106,56.0,227,288.0,73,424.0
201816,2018-04-21,2018-06-21,nation,ca,102,55.0,186,247.0,68,308.0
201817,2018-04-28,2018-06-21,nation,ca,109,53.0,155,263.0,44,244.0
201818,2018-05-05,2018-06-21,nation,ca,123,66.0,146,302.0,42,149.0
201819,2018-05-12,2018-06-21,nation,ca,108,38.0,96,243.0,23,127.0
201820,2018-05-19,2018-06-21,nation,ca,161,51.0,82,245.0,29,103.0
201821,2018-05-26,2018-06-21,nation,ca,145,53.0,75,244.0,15,54.0
201822,2018-06-02,2018-06-21,nation,ca,141,55.0,56,222.0,7,45.0
201823,2018-06-09,2018-06-21,nation,ca,178,41.0,38,245.0,6,34.0
201824,2018-06-16,2018-06-21,nation,ca,115,44.0,30,216.0,11,21.0
201735,2017-09-02,2018-06-14,nation,ca,48,15.0,29,222.0,9,8.0
201736,2017-09-09,2018-06-14,nation,ca,42,25.0,6,225.0,2,16.0
201737,2017-09-16,2018-06-14,nation,ca,57,43.0,28,358.0,5,11.0
201738,2017-09-23,2018-06-14,nation,ca,47,40.0,15,422.0,8,19.0
201739,2017-09-30,2018-06-14,nation,ca,65,43.0,15,505.0,9,13.0
201740,2017-10-07,2018-06-14,nation,ca,73,53.0,21,574.0,10,17.0
201741,2017-10-14,2018-06-14,nation,ca,82,45.0,13,462.0,9,22.0
201742,2017-10-21,2018-06-14,nation,ca,96,45.0,21,457.0,7,43.0
201743,2017-10-28,2018-06-14,nation,ca,103,50.0,42,452.0,11,40.0
201744,2017-11-04,2018-06-14,nation,ca,132,61.0,30,412.0,6,65.0
201745,2017-11-11,2018-06-14,nation,ca,162,77.0,38,386.0,11,94.0
201746,2017-11-18,2018-06-14,nation,ca,132,73.0,41,367.0,19,110.0
201747,2017-11-25,2018-06-14,nation,ca,221,68.0,62,303.0,29,171.0
201748,2017-12-02,2018-06-14,nation,ca,169,58.0,65,277.0,60,199.0
201749,2017-12-09,2018-06-14,nation,ca,205,77.0,99,320.0,83,276.0
201750,2017-12-16,2018-06-14,nation,ca,199,97.0,137,304.0,121,371.0
201751,2017-12-23,2018-06-14,nation,ca,182,82.0,182,306.0,179,554.0
201752,2017-12-30,2018-06-14,nation,ca,174,67.0,160,237.0,224,631.0
201801,2018-01-06,2018-06-14,nation,ca,181,76.0,200,203.0,316,886.0
201802,2018-01-13,2018-06-14,nation,ca,149,45.0,175,170.0,265,883.0
201803,2018-01-20,2018-06-14,nation,ca,143,66.0,228,178.0,286,869.0
201804,2018-01-27,2018-06-14,nation,ca,83,74.0,222,160.0,257,857.0
201805,2018-02-03,2018-06-14,nation,ca,82,69.0,214,164.0,278,877.0
201806,2018-02-10,2018-06-14,nation,ca,74,62.0,257,189.0,254,836.0
201807,2018-02-17,2018-06-14,nation,ca,65,69.0,249,160.0,216,878.0
201808,2018-02-24,2018-06-14,nation,ca,65,58.0,238,163.0,204,795.0
201809,2018-03-03,2018-06-14,nation,ca,73,47.0,272,153.0,203,746.0
201810,2018-03-10,2018-06-14,nation,ca,67,63.0,262,201.0,196,682.0
201811,2018-03-17,2018-06-14,nation,ca,53,55.0,307,185.0,148,647.0
201812,2018-03-24,2018-06-14,nation,ca,72,69.0,237,226.0,144,552.0
201813,2018-03-31,2018-06-14,nation,ca,69,66.0,211,244.0,82,481.0
201814,2018-04-07,2018-06-14,nation,ca,85,61.0,245,264.0,86,437.0
201815,2018-04-14,2018-06-14,nation,ca,106,56.0,227,288.0,73,424.0
201816,2018-04-21,2018-06-14,nation,ca,102,55.0,186,247.0,68,308.0
201817,2018-04-28,2018-06-14,nation,ca,109,53.0,155,263.0,44,244.0
201818,2018-05-05,2018-06-14,nation,ca,123,66.0,146,302.0,42,149.0
201819,2018-05-12,2018-06-14,nation,ca,108,38.0,96,243.0,23,127.0
201820,2018-05-19,2018-06-14,nation,ca,161,51.0,82,245.0,29,103.0
201821,2018-05-26,2018-06-14,nation,ca,145,53.0,75,244.0,15,54.0
201822,2018-06-02,2018-06-14,nation,ca,137,55.0,54,214.0,7,45.0
201823,2018-06-09,2018-06-14,nation,ca,173,40.0,35,228.0,6,34.0
201735,2017-09-02,2018-06-07,nation,ca,48,15.0,29,222.0,9,8.0
201736,2017-09-09,2018-06-07,nation,ca,42,25.0,6,225.0,2,16.0
201737,2017-09-16,2018-06-07,nation,ca,57,43.0,28,358.0,5,11.0
201738,2017-09-23,2018-06-07,nation,ca,47,40.0,15,422.0,8,19.0
201739,2017-09-30,2018-06-07,nation,ca,65,43.0,15,505.0,9,13.0
201740,2017-10-07,2018-06-07,nation,ca,73,53.0,21,574.0,10,17.0
201741,2017-10-14,2018-06-07,nation,ca,82,45.0,13,462.0,9,22.0
201742,2017-10-21,2018-06-07,nation,ca,96,45.0,21,457.0,7,43.0
201743,2017-10-28,2018-06-07,nation,ca,103,50.0,42,452.0,11,40.0
201744,2017-11-04,2018-06-07,nation,ca,132,61.0,30,412.0,6,65.0
201745,2017-11-11,2018-06-07,nation,ca,162,77.0,38,386.0,11,94.0
201746,2017-11-18,2018-06-07,nation,ca,132,73.0,41,367.0,19,110.0
201747,2017-11-25,2018-06-07,nation,ca,221,68.0,62,303.0,29,171.0
